"","MET_NI_1_NEG","METC_NI_1_NEG","BUP_NI_1_NEG","BUPC_NI_1_NEG","ABS_NI_1_NEG","REL_NI_1_NEG","ODN_NI_1_NEG","ODF_NI_1_NEG","MET_INJ_1_NEG","METC_INJ_1_NEG","BUP_INJ_1_NEG","BUPC_INJ_1_NEG","ABS_INJ_1_NEG","REL_INJ_1_NEG","ODN_INJ_1_NEG","ODF_INJ_1_NEG","MET_NI_2_NEG","METC_NI_2_NEG","BUP_NI_2_NEG","BUPC_NI_2_NEG","ABS_NI_2_NEG","REL_NI_2_NEG","ODN_NI_2_NEG","ODF_NI_2_NEG","MET_INJ_2_NEG","METC_INJ_2_NEG","BUP_INJ_2_NEG","BUPC_INJ_2_NEG","ABS_INJ_2_NEG","REL_INJ_2_NEG","ODN_INJ_2_NEG","ODF_INJ_2_NEG","MET_NI_3_NEG","METC_NI_3_NEG","BUP_NI_3_NEG","BUPC_NI_3_NEG","ABS_NI_3_NEG","REL_NI_3_NEG","ODN_NI_3_NEG","ODF_NI_3_NEG","MET_INJ_3_NEG","METC_INJ_3_NEG","BUP_INJ_3_NEG","BUPC_INJ_3_NEG","ABS_INJ_3_NEG","REL_INJ_3_NEG","ODN_INJ_3_NEG","ODF_INJ_3_NEG","MET_NI_1_HIV","METC_NI_1_HIV","BUP_NI_1_HIV","BUPC_NI_1_HIV","ABS_NI_1_HIV","REL_NI_1_HIV","ODN_NI_1_HIV","ODF_NI_1_HIV","MET_INJ_1_HIV","METC_INJ_1_HIV","BUP_INJ_1_HIV","BUPC_INJ_1_HIV","ABS_INJ_1_HIV","REL_INJ_1_HIV","ODN_INJ_1_HIV","ODF_INJ_1_HIV","MET_NI_2_HIV","METC_NI_2_HIV","BUP_NI_2_HIV","BUPC_NI_2_HIV","ABS_NI_2_HIV","REL_NI_2_HIV","ODN_NI_2_HIV","ODF_NI_2_HIV","MET_INJ_2_HIV","METC_INJ_2_HIV","BUP_INJ_2_HIV","BUPC_INJ_2_HIV","ABS_INJ_2_HIV","REL_INJ_2_HIV","ODN_INJ_2_HIV","ODF_INJ_2_HIV","MET_NI_3_HIV","METC_NI_3_HIV","BUP_NI_3_HIV","BUPC_NI_3_HIV","ABS_NI_3_HIV","REL_NI_3_HIV","ODN_NI_3_HIV","ODF_NI_3_HIV","MET_INJ_3_HIV","METC_INJ_3_HIV","BUP_INJ_3_HIV","BUPC_INJ_3_HIV","ABS_INJ_3_HIV","REL_INJ_3_HIV","ODN_INJ_3_HIV","ODF_INJ_3_HIV","MET_NI_1_HCV","METC_NI_1_HCV","BUP_NI_1_HCV","BUPC_NI_1_HCV","ABS_NI_1_HCV","REL_NI_1_HCV","ODN_NI_1_HCV","ODF_NI_1_HCV","MET_INJ_1_HCV","METC_INJ_1_HCV","BUP_INJ_1_HCV","BUPC_INJ_1_HCV","ABS_INJ_1_HCV","REL_INJ_1_HCV","ODN_INJ_1_HCV","ODF_INJ_1_HCV","MET_NI_2_HCV","METC_NI_2_HCV","BUP_NI_2_HCV","BUPC_NI_2_HCV","ABS_NI_2_HCV","REL_NI_2_HCV","ODN_NI_2_HCV","ODF_NI_2_HCV","MET_INJ_2_HCV","METC_INJ_2_HCV","BUP_INJ_2_HCV","BUPC_INJ_2_HCV","ABS_INJ_2_HCV","REL_INJ_2_HCV","ODN_INJ_2_HCV","ODF_INJ_2_HCV","MET_NI_3_HCV","METC_NI_3_HCV","BUP_NI_3_HCV","BUPC_NI_3_HCV","ABS_NI_3_HCV","REL_NI_3_HCV","ODN_NI_3_HCV","ODF_NI_3_HCV","MET_INJ_3_HCV","METC_INJ_3_HCV","BUP_INJ_3_HCV","BUPC_INJ_3_HCV","ABS_INJ_3_HCV","REL_INJ_3_HCV","ODN_INJ_3_HCV","ODF_INJ_3_HCV","MET_NI_1_COI","METC_NI_1_COI","BUP_NI_1_COI","BUPC_NI_1_COI","ABS_NI_1_COI","REL_NI_1_COI","ODN_NI_1_COI","ODF_NI_1_COI","MET_INJ_1_COI","METC_INJ_1_COI","BUP_INJ_1_COI","BUPC_INJ_1_COI","ABS_INJ_1_COI","REL_INJ_1_COI","ODN_INJ_1_COI","ODF_INJ_1_COI","MET_NI_2_COI","METC_NI_2_COI","BUP_NI_2_COI","BUPC_NI_2_COI","ABS_NI_2_COI","REL_NI_2_COI","ODN_NI_2_COI","ODF_NI_2_COI","MET_INJ_2_COI","METC_INJ_2_COI","BUP_INJ_2_COI","BUPC_INJ_2_COI","ABS_INJ_2_COI","REL_INJ_2_COI","ODN_INJ_2_COI","ODF_INJ_2_COI","MET_NI_3_COI","METC_NI_3_COI","BUP_NI_3_COI","BUPC_NI_3_COI","ABS_NI_3_COI","REL_NI_3_COI","ODN_NI_3_COI","ODF_NI_3_COI","MET_INJ_3_COI","METC_INJ_3_COI","BUP_INJ_3_COI","BUPC_INJ_3_COI","ABS_INJ_3_COI","REL_INJ_3_COI","ODN_INJ_3_COI","ODF_INJ_3_COI"
"ABS_INJ_3_HIV",0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308
"REL_INJ_3_HIV",0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448,0,0,0,0,0,0,0,0,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0.140233923192584,0,0.268259557921237,0.0305708261158448
"ODN_INJ_3_HIV",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0
"ODF_INJ_3_HIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MET_NI_1_HCV",0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0,0,0.232313526140425,0.116156763070212,0.116156763070212,0.232313526140425,0.232313526140425,0.0635084772124964,0.00723741822580414,0,0,0,0,0,0,0,0
"METC_NI_1_HCV",0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0,0.231423200534028,0,0.115711600267014,0.115711600267014,0.231423200534028,0.231423200534028,0.0667054527054339,0.0076017451584531,0,0,0,0,0,0,0,0
"BUP_NI_1_HCV",0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0,0.116157453019294,0.116157453019294,0,0.232314906038589,0.232314906038589,0.232314906038589,0.0635035222829961,0.00723685356264976,0,0,0,0,0,0,0,0
"BUPC_NI_1_HCV",0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0,0.115778595219315,0.115778595219315,0.23155719043863,0,0.23155719043863,0.23155719043863,0.0662243226129879,0.00754691563249233,0,0,0,0,0,0,0,0
"ABS_NI_1_HCV",0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0
"REL_NI_1_HCV",0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0.184725620052888,0,0.0685589322741847,0.0078129674613773,0,0,0,0,0,0,0,0
"ODN_NI_1_HCV",0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0
"ODF_NI_1_HCV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MET_INJ_1_HCV",0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624,0,0,0,0,0,0,0,0,0,0.179452350551131,0.0897261752755654,0.0897261752755654,0.179452350551131,0.179452350551131,0.253322048419114,0.0288685493763624
"METC_INJ_1_HCV",0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508,0,0,0,0,0,0,0,0,0.176800551552316,0,0.0884002757761578,0.0884002757761578,0.176800551552316,0.176800551552316,0.262844111303187,0.0299536824875508
